project_id,project_type,state,district,land_area_acres,affected_families,villages_affected,legal_disputes,ownership_conflicts,pending_court_cases,documentation_completion_pct,missing_documents,compensation_completion_pct,compensation_pending_cases,average_compensation_delay_days,rehabilitation_completion_pct,resettlement_completion_pct,affected_families_rehabilitated,pending_approvals,approval_delay_days,stakeholder_response_delay_days,current_stage,days_in_current_stage,possession_completion_pct,historical_delay_rate,days_remaining_to_target,previous_stage_delay_days,delay_flag,actual_delay_days
BG-42-000001,Industrial Corridor,Tamil Nadu,Chennai,268.47,598,9,1,10,4,88.17,6,70.52,109,21,61.95,54.04,344,1,17,316,Rehabilitation & Resettlement,55,78.93,0.4511,160,104,1,290
BG-42-000002,Industrial Corridor,Karnataka,Belagavi,351.21,464,11,3,6,1,48.22,6,15.88,339,76,32.8,18.46,148,5,100,203,Award,169,32.6,0.6564,179,76,1,442
BG-42-000003,Highway,Rajasthan,Kota,111.54,266,5,1,1,1,85.45,3,69.71,72,44,80.69,75.69,205,2,53,239,Rehabilitation & Resettlement,109,86.4,0.4649,82,29,0,0
BG-42-000004,Highway,Gujarat,Vadodara,32.07,95,3,1,2,1,74.9,3,88.1,11,6,100.0,100.0,89,1,28,134,Compensation,72,100.0,0.571,211,71,0,0
BG-42-000005,Railway,Tamil Nadu,Madurai,353.55,736,10,0,10,2,77.75,7,7.48,584,84,7.47,8.14,49,1,36,327,Survey,35,33.19,0.4377,397,69,1,275
BG-42-000006,Highway,Telangana,Hyderabad,37.92,99,6,1,0,0,95.16,0,100.0,0,0,100.0,92.41,92,1,49,74,Possession,81,100.0,0.5017,41,34,0,0
BG-42-000007,Railway,Gujarat,Surat,112.21,96,5,0,4,2,84.35,4,85.45,10,19,75.71,76.65,64,4,43,95,Rehabilitation & Resettlement,61,100.0,0.5812,295,48,1,59
BG-42-000008,Irrigation,Karnataka,Mysuru,69.73,173,4,1,2,2,80.33,2,66.77,47,22,80.43,72.81,129,5,107,157,Rehabilitation & Resettlement,115,100.0,0.535,139,28,0,0
BG-42-000009,Highway,Madhya Pradesh,Gwalior,60.67,86,5,0,1,0,65.25,3,0.0,63,83,0.0,0.0,0,2,36,50,Survey,29,0.0,0.1035,286,26,1,96
BG-42-000010,Railway,Maharashtra,Nagpur,157.82,165,6,0,1,1,98.75,0,44.16,79,75,70.07,79.64,112,1,18,111,Award,127,85.66,0.1944,199,14,0,0
BG-42-000011,Industrial Corridor,Gujarat,Vadodara,104.12,130,6,1,4,2,90.76,0,14.77,62,64,15.9,23.26,20,3,46,141,Award,92,51.73,0.427,7,69,1,321
BG-42-000012,Metro,Uttar Pradesh,Varanasi,129.1,281,5,2,3,1,92.5,2,67.26,73,25,87.3,77.9,244,0,0,227,Possession,103,82.34,0.5176,182,75,0,0
BG-42-000013,Highway,Gujarat,Surat,44.59,171,6,1,5,2,78.87,1,71.92,32,37,81.44,83.5,132,1,55,159,Compensation,73,100.0,0.4985,146,44,0,0
BG-42-000014,Highway,Telangana,Karimnagar,74.5,95,6,1,2,1,91.56,1,84.84,11,16,66.92,54.0,61,3,49,91,Rehabilitation & Resettlement,56,98.89,0.7574,116,52,0,0
BG-42-000015,Irrigation,Gujarat,Vadodara,46.26,110,6,1,5,2,93.52,2,49.58,50,103,24.67,34.24,25,3,31,141,Award,82,60.7,0.6722,161,64,1,176
BG-42-000016,Highway,Gujarat,Rajkot,73.02,61,2,1,1,2,76.11,4,0.0,49,62,1.75,4.88,1,2,55,100,Survey,48,0.0,0.2452,276,33,1,260
BG-42-000017,Industrial Corridor,Telangana,Nizamabad,77.87,48,3,1,4,1,78.68,6,72.3,10,32,68.49,68.19,31,2,20,82,Compensation,93,100.0,0.2059,248,42,0,0
BG-42-000018,Power Transmission,Gujarat,Vadodara,374.44,264,11,2,6,2,54.62,4,0.0,178,142,0.0,0.0,0,3,50,146,Notification,80,0.0,0.5157,279,69,1,246
BG-42-000019,Highway,Telangana,Hyderabad,69.58,136,4,0,1,1,93.33,2,87.41,16,20,69.54,76.2,85,0,10,127,Rehabilitation & Resettlement,38,73.77,0.3035,199,17,0,0
BG-42-000020,Industrial Corridor,Uttar Pradesh,Varanasi,15.64,31,2,0,2,1,69.61,2,71.85,5,33,81.15,81.78,23,1,0,59,Compensation,106,92.7,0.182,57,99,0,0
BG-42-000021,Highway,Karnataka,Bengaluru Urban,261.41,319,8,1,5,1,79.02,3,63.4,73,12,74.19,76.32,224,2,52,187,Rehabilitation & Resettlement,214,98.83,0.2815,7,102,1,220
BG-42-000022,Railway,Karnataka,Belagavi,122.66,72,7,0,2,1,98.52,0,50.71,32,38,61.06,68.46,39,0,13,16,Objections,160,84.93,0.0533,146,16,0,0
BG-42-000023,Railway,Rajasthan,Kota,77.11,138,5,0,4,1,100.0,4,92.91,8,12,100.0,100.0,127,0,0,153,Possession,76,100.0,0.3682,290,55,0,0
BG-42-000024,Irrigation,Rajasthan,Kota,60.35,113,5,0,4,3,100.0,2,100.0,0,0,78.73,66.76,85,6,121,100,Possession,116,100.0,0.3506,147,77,1,162
BG-42-000025,Highway,Maharashtra,Nashik,40.14,54,5,0,3,0,99.37,2,96.12,2,25,86.16,93.19,43,0,0,28,Rehabilitation & Resettlement,46,74.93,0.3197,183,32,0,0
BG-42-000026,Highway,Karnataka,Bengaluru Urban,403.61,737,10,0,10,4,64.44,5,0.0,636,66,0.0,0.0,0,2,0,359,Survey,46,0.0,0.2066,349,66,1,317
BG-42-000027,Irrigation,Madhya Pradesh,Jabalpur,89.25,177,7,1,6,1,58.01,4,72.61,45,54,54.4,49.89,87,2,33,145,Award,70,56.88,0.3759,95,74,1,163
BG-42-000028,Highway,Gujarat,Vadodara,21.32,41,4,1,4,0,72.22,3,8.54,33,49,0.0,0.0,0,2,28,86,Notification,105,0.0,0.2332,299,53,1,281
BG-42-000029,Irrigation,Telangana,Warangal,111.3,105,6,1,2,1,93.85,1,3.51,72,98,0.0,0.0,0,2,45,118,Survey,121,0.0,0.7333,501,28,0,0
BG-42-000030,Industrial Corridor,Karnataka,Belagavi,224.74,467,9,0,4,2,71.69,5,44.26,229,66,60.32,52.08,259,3,32,233,Compensation,79,59.54,0.5835,77,36,0,0
BG-42-000031,Industrial Corridor,Maharashtra,Thane,97.04,179,6,0,2,3,94.95,0,100.0,0,0,78.03,67.23,137,5,67,148,Rehabilitation & Resettlement,63,89.19,0.221,346,68,0,0
BG-42-000032,Power Transmission,Tamil Nadu,Madurai,41.63,64,3,0,1,0,98.11,3,100.0,0,20,100.0,89.61,58,0,21,93,Possession,65,100.0,0.4626,7,45,0,0
